state_name,county_name,emr_16,femr_16,memr_16,emr_20to64,femr_20to64,memr_20to64,unr_16,funr_16,munr_16,unr_20to64,funr_20to64,munr_20to64,flfpr_20to64,flfpr_20to64_under6,flfpr_20to64_6to17,flfpr_20to64_under6_6to17,mlfpr_20to64,pr_f,pr_p,mfi_2022,mhi_2022,me_2022,fme_2022,mme_2022,totalpop,onerace,onerace_w,onerace_b,onerace_i,onerace_a,onerace_h,onerace_other,tworaces,hispanic,households,h_under6_bothwork,h_under6_fwork,h_under6_mwork,h_under6_singlem,h_6to17_bothwork,h_6to17_fwork,h_6to17_mwork,h_6to17_singlem,emp_m,memp_m,femp_m,emp_service,memp_service,femp_service,emp_sales,memp_sales,femp_sales,emp_n,memp_n,femp_n,emp_p,memp_p,femp_p,mcsa
Alabama,Autauga County,55.5,49.4,62.2,69.8,63.5,76.4,2.8,2.3,3.3,2.6,1.9,3.2,66.1,69.6,75.9,66.9,82.9,12,13.6,78961,68299,38318,29137,48904,58239,96.4,75.1,19.7,0.2,1.1,0,0.3,3.6,3,21856,1438,855,107,1046,4049,1828,355,1931,38.1,32.3,44.7,15.1,12.5,18,21.9,15.7,29,9.5,16.5,1.5,15.5,23,6.8,110
Alabama,Baldwin County,56.8,52.6,61.3,72.9,67.7,78.5,3.7,4.5,2.9,3.6,4.5,2.8,70.9,71.6,80.8,60.4,81.5,5.9,9.2,90253,70137,39239,30535,49557,227131,96.7,84.5,8.8,0.6,1,0,1.8,3.3,4.7,87190,6193,4012,179,2498,16975,5602,1564,5927,36.1,32,40.4,17.8,14.6,21.3,23.6,16.1,31.8,9.5,17.1,1.3,13,20.2,5.2,110
Alabama,Barbour County,41.5,44.1,39.2,52.1,58.1,47.4,8.6,11.5,5.6,9.1,12.5,5.6,66.4,77.6,74.1,67.3,50.2,21.7,26.5,53157,39700,30109,25134,35717,25259,97.6,45.5,47.4,0.3,0.4,0,3.9,2.4,4.7,9088,411,183,4,791,753,441,128,1803,25.6,19.7,31.7,20.7,19.1,22.3,19.9,9.7,30.3,12.2,23.1,1,21.6,28.4,14.7,99
Alabama,Bibb County,44.9,43.7,45.8,54,55.9,52.6,9.7,10.2,9.3,10,11.2,9,62.9,60.6,62.5,71.8,57.8,13.4,16.9,74097,59162,30638,25624,36879,22412,98.7,75.9,22.3,0.1,0.2,0,0.1,1.3,2.8,7083,245,377,80,472,1138,627,77,754,22,11.8,35,16.8,11.5,23.6,21.5,15.5,29.3,16.6,28.7,1.1,23.1,32.6,11,120
Alabama,Blount County,51.7,46.2,57.3,65.6,58.7,72.2,6,5.6,6.4,5.8,6,5.7,62.6,82.3,70.9,58.6,76.7,9.3,13.2,75150,57585,38768,31048,45166,58884,96.7,92.5,1.3,0.3,0.4,0.1,2.1,3.3,9.5,21300,1548,1045,176,790,3549,1950,365,1698,28.2,19.6,38.9,13.8,11.2,17,21.6,13.3,31.7,15.3,27.2,0.6,21.1,28.7,11.7,123
Alabama,Bullock County,46.6,45.2,47.8,58.9,55.4,61.6,3,0.3,5,1.7,0.4,2.6,55.6,50,68.2,49.6,63.2,27.6,30.9,50754,31679,29709,21839,38861,10386,98.1,24.8,69,0,0.4,0,4,1.9,8.5,3419,59,0,0,364,280,0,120,858,19.9,18.6,21.5,16.7,8.2,27.7,10.7,7,15.6,14.9,23.6,3.5,37.8,42.6,31.6,110
Alabama,Butler County,49.7,48.2,51.5,65.6,65.1,66.1,6.5,7.2,5.8,6.6,7.6,5.6,70.4,95.5,81.3,73.8,70,14,18.2,68411,49307,30402,24155,34204,19181,98.3,51.6,44.8,0.2,1.5,0,0.2,1.7,1.6,6531,422,100,23,475,1293,304,104,925,26.6,22.9,29.9,15.3,9.9,20,21.8,9.2,32.9,12.1,22.8,2.7,24.2,35.3,14.5,110
Alabama,Calhoun County,52.1,47.3,57.4,65.9,60.7,71.4,7,7.6,6.4,6.4,7,5.9,65.5,55.5,72.3,63.3,76.8,12.2,17.5,69060,55565,33252,27495,39998,116425,97.1,72.8,21.5,0.2,0.8,0.2,1.7,2.9,4,44295,1735,1860,228,2730,6356,2477,547,4714,30.1,22.8,38.2,18.1,14.6,22,21.8,14.1,30.4,9.6,17.8,0.5,20.3,30.7,8.8,100
Alabama,Chambers County,54.6,48.5,61.4,70.5,65.8,75.4,3.2,3.8,2.6,2.7,2.8,2.5,67.7,76.2,73.5,65.2,77.4,10.8,15.1,59788,51483,32976,28580,37914,34834,98.8,56.9,40.1,0.2,1,0,0.5,1.2,2.7,13123,708,252,22,1097,1255,367,249,1626,26.3,18.6,35.1,16.6,15.2,18.2,17.6,9.7,26.6,9.4,17.6,0.2,30,38.9,20,117
Alabama,Cherokee County,47.1,41,53.3,64.4,56.3,72.5,4.7,4.3,5,4.4,3.7,5,58.4,71,74.8,64.4,76.3,11.8,15,65938,47388,36616,32081,41404,24975,97.5,91.5,4.7,0.3,0.1,0,1,2.5,1.8,9692,472,375,4,228,1611,568,153,523,32.1,24.2,42.1,15.1,11.8,19.3,16.3,8.2,26.6,13.1,23.2,0.2,23.5,32.7,11.7,100
